Case	Time [yr]	R_int [m]	R_obs [m]	M_planet [kg]	F_ins [W/m2]	MMW [g/mol]
1000_F_earth	854527.0	6312103.6002	6837793.1807	5.9720429129e+24	1005896.4446	36.656057798
1_F_earth	329190696.0	6312103.6002	6801763.1513	5.9720429129e+24	1062.2395837	19.443178728
