Case	Time [yr]	R_int [m]	R_obs [m]	M_planet [kg]	F_ins [W/m2]	F_xuv [W/m2]	MMW [g/mol]
1000_F_earth	1639212.0	118500600.0	118500600.0	5.972054243400001e+25	1006054.461	215.17521714	27.36142116426561
1_F_earth	7065653.0	118500600.0	118500600.0	5.972054243400001e+25	1031.1374037	0.21985765449	25.95746934826291
