Case	Time [yr]	R_int [m]	R_obs [m]	M_planet [kg]	F_ins [W/m2]	MMW [g/mol]
1000_F_earth	5665866.0	6306808.3735	7415030.5653	5.9720547713e+24	1006742.4534	26.820489970999997
1_F_earth	707785654.0	6306808.3735	6980852.9887	5.9720547713e+24	1091.7088344	16.644872737
