Case	Time [yr]	R_int [m]	R_obs [m]	M_planet [kg]	F_ins [W/m2]	F_xuv [W/m2]	MMW [g/mol]
1000_F_earth	1639212.0	6307338.2019	6959059.1572	5.9720542434e+24	1006054.461	215.17521714	28.002796039
1_F_earth	7065653.0	6307338.2019	6725236.6312	5.9720542434e+24	1031.1374037	0.21985765449	26.407882519
