Case	Time [yr]	R_int [m]	R_obs [m]	M_planet [kg]	F_ins [W/m2]	F_xuv [W/m2]	MMW [g/mol]
1000_F_earth	5423153.0	6309508.8028	6906454.7355	5.9720493838e+24	1006702.9775	214.65935057	42.35852089
1_F_earth	481821111.0	6309508.8028	6712117.3525	5.9720493838e+24	1073.9696342	0.10081609066	30.539104442
