Case	Time [yr]	R_int [m]	R_obs [m]	M_planet [kg]	F_ins [W/m2]	F_xuv [W/m2]	MMW [g/mol]
1000_F_earth	1826956.0	6311626.9462	12499334.115	5.9720425295e+24	1006092.2681	214.96539149	6.7593268974
1_F_earth	11451179.0	6311626.9462	8128494.2457	5.9720425295e+24	1031.8678033	0.21963888348	5.3780030729
