Case	Time [yr]	R_int [m]	R_obs [m]	M_planet [kg]	F_ins [W/m2]	F_xuv [W/m2]	MMW [g/mol]
1000_F_earth	5423153.0	118500600.0	118500600.0	5.9720493838000004e+25	1006702.9775	214.65935057	39.73158823010966
1_F_earth	481821111.0	118500600.0	118500600.0	5.9720493838000004e+25	1073.9696342	0.10081609066	30.11852086394466
