file,T_inf,atmosphere_type,mass_case,flux_case,weighted_mass_loss_kg_s_const,dominant_escaping_species_const,dominant_lambda_j_const,dominant_species_Mdot_kg_s_const,jeans_valid_const,T_exo_K_const,exobase_altitude_km_const,exobase_radius_m_const,exobase_index_const,weighted_mass_loss_kg_s_diss,dominant_escaping_species_diss,dominant_lambda_j_diss,dominant_species_Mdot_kg_s_diss,jeans_valid_diss,T_exo_K_diss,exobase_altitude_km_diss,exobase_radius_m_diss,exobase_index_diss,ratio_diss_const,delta_log10_Mdot,both_jeans_valid
H2_atmosphere_1_M_earth_1_F_earth.csv,200,H2,1_M_earth,1_F_earth,1.2992209038501114e-14,H,25.34905420709377,2.367218516524381e-10,True,199.3869134410463,3173.34433752753,9484971.28372753,338,3.208783220084817e-06,H,25.07713021352359,3.543057492657206e-06,True,199.7727036945128,3257.679190437926,9569306.136637926,420,246977493.24813882,8.392657378346723,True
H2_atmosphere_1_M_earth_1_F_earth.csv,300,H2,1_M_earth,1_F_earth,9.571674835153698e-10,H,16.855868090117813,6.363807288165339e-07,True,296.4094368308889,3283.5122798833363,9595139.226083336,340,0.0092376596502726,H,16.511894221887843,0.0101999907733407,True,298.66883112826645,3409.2989133702927,9720925.859570293,422,9651037.88978041,6.984574020656369,True
H2_atmosphere_1_M_earth_1_F_earth.csv,500,H2,1_M_earth,1_F_earth,0.0004331359175799,H2,19.906542296131427,0.0005582973899828,True,490.65410644397326,3504.793642292414,9816420.588492414,342,4.252354103423225,H,9.624072985635047,4.695342138808313,True,496.6179428775524,3718.654432187764,10030281.378387764,426,9817.59750422637,3.9920052231929977,True
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,H2,1_M_earth,1_F_earth,5.444651216028172,H2,9.429090670924898,7.018238334152502,True,977.9961818651788,4085.5983637003937,10397225.309900394,349,272.93720129722806,H,4.459471450796313,301.3703730523343,True,992.2277335400906,4522.64372289004,10834270.66909004,435,50.129418849410435,1.7000926698642571,True
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,H2,1_M_earth,1_F_earth,356.6661207760379,H2,4.191706218262096,459.7481519269611,True,1959.2688164089395,5362.907296859169,11674534.24305917,364,1302.2084931589711,H,1.9169452952975412,1437.86577078871,True,1986.2925800749956,6278.829970194543,12590456.916394545,454,3.651057438047696,0.5624186652781165,True
H2_atmosphere_1_M_earth_1_F_earth.csv,3000,H2,1_M_earth,1_F_earth,1078.0201924941878,H2,2.485998664705957,1389.5846972879306,True,2946.724021463766,6776.698100252496,13088325.046452496,378,1718.2540042333292,H,1.1063956920682596,1897.251094536954,False,2982.9179819937585,8214.259425921682,14525886.372121682,472,1.593897791708195,0.20246046892941233,False
H2_atmosphere_1_M_earth_1_F_earth.csv,4000,H2,1_M_earth,1_F_earth,1620.9925905639925,H2,1.6621158881858091,2089.469673448904,True,3939.0782493764864,8332.669694000193,14644296.640200194,392,1800.3741307763023,H,0.725221824807758,1987.8333165527376,False,3980.93355868798,10293.363739562006,16604990.685762009,488,1.1106615423515893,0.045581734293392934,False
H2_atmosphere_1_M_earth_1_F_earth.csv,5000,H2,1_M_earth,1_F_earth,1922.5689767416704,H2,1.1908097724534086,2477.792213009184,False,4934.3192699495785,10005.916958183752,16317543.904383752,405,1739.225523437416,H,0.5107096283419571,1919.5957595191685,False,4980.176993316986,12536.821567678437,18848448.513878435,504,0.9046362156457028,-0.04352602996589555,False
H2_atmosphere_1_M_earth_1_F_earth.csv,6000,H2,1_M_earth,1_F_earth,2044.4584421107284,H2,0.8917870760305858,2632.0250060197955,False,5932.236498443048,11811.986716325742,18123613.662525743,418,1647.8844238642157,H,0.3776856104556521,1816.7081886331453,False,5980.037408412508,14913.978708829736,21225605.655029736,519,0.8060249061178842,-0.09365153831594525,False
H2_atmosphere_1_M_earth_1_F_earth.csv,7000,H2,1_M_earth,1_F_earth,2061.5234043497508,H2,0.6893899386705722,2644.997806880032,False,6932.1516718330495,13751.167772830458,20062794.71903046,431,1577.1909837528742,H,0.2899760009998017,1735.2966913153807,False,6980.012419164133,17373.525223349476,23685152.169549476,532,0.7650609158377973,-0.11630398398498526,False
H2_atmosphere_10_M_earth_1_F_earth.csv,200,H2,10_M_earth,1_F_earth,0.0312733675538969,H,9.027614590521765,0.6351200733359776,True,199.97548078824448,147048.4007509079,265549000.7509079,676,88.68689637562638,H,8.809624988285664,88.68689637855526,True,199.98723010012935,153603.28595096947,272103885.95096946,728,2835.8601363534744,3.4526848077847356,True
H2_atmosphere_10_M_earth_1_F_earth.csv,300,H2,10_M_earth,1_F_earth,23.860350998826537,H2,10.547019188489315,23.937716562654614,True,299.9485600852664,184572.8613552789,303073461.3552789,692,1825.5299124674943,H,5.104297885504343,1825.5299125277827,True,299.9735434759134,194593.91964079428,313094519.6407943,745,76.5089295022221,1.8837121254441545,True
H2_atmosphere_10_M_earth_1_F_earth.csv,500,H2,10_M_earth,1_F_earth,2433.430255312352,H2,5.008707094107084,2451.423881167862,True,499.9196272985365,264411.0708594644,382911670.8594644,720,11842.510555665698,H,2.397603184362592,11842.510556056795,True,499.9591781513258,281428.10667896585,399928706.67896587,774,4.866591318905751,0.6872248770846154,True
H2_atmosphere_10_M_earth_1_F_earth.csv,1000,H2,10_M_earth,1_F_earth,22781.67806388758,H2,1.589385653027979,22955.51657275287,True,999.9030928369816,484804.8192528238,603305419.2528238,774,22380.6848530054,H,0.7507325104320777,22380.684853744515,False,999.9519997944568,520101.0763844778,638601676.3844779,830,0.9823984339626933,-0.007712338509404721,False
