file,T_inf,weighted_mass_loss_kg_s,species,Mdot_kg_s,lambda_j,v_th_m_s,effusion_velocity_m_s,n_exo_m3,exobase_altitude_km,exobase_radius_m,T_exo_K,exobase_index,jeans_valid,escape_regime,atmosphere_type,mass_case,flux_case
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,OH,3.885334415829922e-186,430.9339215205941,441.62734311811,3.7900431424890235e-183,64244258.789726324,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,H2,9.145002609663836e-17,50.69810841418754,1287.5538965850196,1.8018822669924108e-18,27035002847418.664,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,H2O,4.834223016117874e-193,456.28297572768787,429.18463219500654,3.819844810476884e-194,749044208298.2595,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,H,2.367218516524381e-10,25.34905420709377,1820.8761828368602,1.3258248374993427e-07,1902178161.8070722,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,O,1.99000506546935e-176,405.5848673135003,455.21904570921504,3.754022617730016e-172,3529687.9082073364,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,C,7.552622082119e-133,304.1886504851252,525.6416771609197,3.5334656670265944e-128,1897643.4901725028,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,CH4,3.5039803519393146e-170,405.5848673135003,455.21904570921504,3.754022617730016e-172,6215037988317.512,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,CO,5.842415941297667e-303,709.7735177986254,344.11325343049356,3.873517523599452e-304,573889011323.0221,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,CO2,0.0,1115.358385112126,274.5074130983837,0.0,20506180489.642937,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,200,1.2992209038501114e-14,O2,0.0,811.1697346270006,321.8884741462549,0.0,373.9194673950612,3173.34433752753,9484971.28372753,199.3869134410463,338,True,Jeans,H2,1_M_earth,1_F_earth
