file,T_inf,atmosphere_type,mass_case,flux_case,dominant_species,second_species,dominant_Mdot,second_Mdot,dominant_to_second_ratio,log10_ratio
CO2_atmosphere_1_M_earth_1_F_earth.csv,1000,CO2,1_M_earth,1_F_earth,H,H2,0.0028885701358048,0.0001966955736954,14.68548621372639,1.1668883299151873
CO2_atmosphere_1_M_earth_1_F_earth.csv,2000,CO2,1_M_earth,1_F_earth,H2,H,0.6548416404265678,0.1083804594324224,6.042063706464318,0.781185300086559
CO2_atmosphere_1_M_earth_1_F_earth.csv,3000,CO2,1_M_earth,1_F_earth,H2,H,8.892888620855297,0.3152855745798554,28.2058214452273,1.450338752312946
CO2_atmosphere_1_M_earth_1_F_earth.csv,5000,CO2,1_M_earth,1_F_earth,H2,H,60.07279819489239,0.6245933851612758,96.17904963783924,1.983080481418581
CO2_atmosphere_1_M_earth_1_F_earth.csv,6000,CO2,1_M_earth,1_F_earth,H2,H,90.60537464698749,0.6893260874317619,131.44051313153983,2.1187292458755844
CO2_atmosphere_1_M_earth_1_F_earth.csv,7000,CO2,1_M_earth,1_F_earth,H2,H,119.33596046634476,0.7373058855729258,161.85407278230852,2.2091236321576724
H2O_atmosphere_10_M_earth_1000_F_earth.csv,200,H2O,10_M_earth,1000_F_earth,H,H2,42.92765603840865,6.99758384479956e-05,613463.9754307693,5.7877890646490195
H2O_atmosphere_10_M_earth_1000_F_earth.csv,300,H2O,10_M_earth,1000_F_earth,H,H2,1692.5105400393245,0.2116967254542803,7994.977420682175,3.902817241554801
H2O_atmosphere_10_M_earth_1000_F_earth.csv,500,H2O,10_M_earth,1000_F_earth,H,H2,15237.670468841816,39.15247034918657,389.1879703360376,2.5901594079133243
H2O_atmosphere_10_M_earth_1000_F_earth.csv,1000,H2O,10_M_earth,1000_F_earth,H,H2,31227.01790806229,391.64788963409865,79.73237883966763,1.9016347215940363
H2O_atmosphere_10_M_earth_1000_F_earth.csv,2000,H2O,10_M_earth,1000_F_earth,H,H2,26270.081779999386,461.3977423728542,56.935869787526194,1.75538595958746
H2O_atmosphere_10_M_earth_1000_F_earth.csv,3000,H2O,10_M_earth,1000_F_earth,H,H2,21903.530591256636,397.24017229955473,55.1392636461234,1.7414609620497574
H2O_atmosphere_10_M_earth_1000_F_earth.csv,5000,H2O,10_M_earth,1000_F_earth,H,H2,17035.21319095299,311.3609500735915,54.71210563471959,1.7380834292344691
H2O_atmosphere_10_M_earth_1000_F_earth.csv,6000,H2O,10_M_earth,1000_F_earth,H,H2,15328.37731714135,280.3337922312272,54.67902101683864,1.737820730277808
H2O_atmosphere_10_M_earth_1000_F_earth.csv,7000,H2O,10_M_earth,1000_F_earth,H,H2,14346.618397331842,262.44524256503325,54.66518751536061,1.737710842182773
H2O_atmosphere_10_M_earth_1_F_earth.csv,200,H2O,10_M_earth,1_F_earth,H,H2,0.0099598600508275,6.175876405336896e-09,1612703.9139288256,6.207554639955402
H2O_atmosphere_10_M_earth_1_F_earth.csv,300,H2O,10_M_earth,1_F_earth,H,H2,1.7137074879042935,0.0003281919539799,5221.6621008607935,3.717808764752419
H2O_atmosphere_10_M_earth_1_F_earth.csv,500,H2O,10_M_earth,1_F_earth,H,H2,83.62088910586891,1.5657124868117809,53.4075635279271,1.727602765752086
