file,T_inf,atmosphere_type,mass_case,flux_case,weighted_mass_loss_kg_s,M_total_kg_s,dominant_escaping_species,dominant_lambda_j,dominant_species_Mdot_kg_s,jeans_valid,T_exo_K,exobase_altitude_km,exobase_radius_m,exobase_index,unphysical_extension,profile_top_height_km,extension_height_km
H2_atmosphere_1_M_earth_1_F_earth.csv,200,H2,1_M_earth,1_F_earth,1.2992209038501114e-14,2.367219431024642e-10,H,25.34905420709377,2.367218516524381e-10,True,199.3869134410463,3173.34433752753,9484971.28372753,338.0,False,2884.82188,288.52245752753015
H2_atmosphere_1_M_earth_1_F_earth.csv,300,H2,1_M_earth,1_F_earth,9.571674835153698e-10,6.375697569046216e-07,H,16.855868090117813,6.363807288165339e-07,True,296.4094368308889,3283.5122798833363,9595139.226083336,340.0,False,2884.82188,398.69039988333634
H2_atmosphere_1_M_earth_1_F_earth.csv,500,H2,1_M_earth,1_F_earth,0.0004331359175799,0.0008642032068761,H2,19.906542296131427,0.0005582973899828,True,490.65410644397326,3504.793642292414,9816420.588492414,342.0,False,2884.82188,619.971762292414
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,H2,1_M_earth,1_F_earth,5.444651216028172,7.039582252433089,H2,9.429090670924898,7.018238334152502,True,977.9961818651788,4085.5983637003937,10397225.309900394,349.0,False,2884.82188,1200.7764837003938
H2_atmosphere_1_M_earth_1_F_earth.csv,2000,H2,1_M_earth,1_F_earth,356.6661207760379,459.859073863909,H2,4.191706218262096,459.7481519269611,True,1959.2688164089395,5362.907296859169,11674534.24305917,364.0,False,2884.82188,2478.085416859169
H2_atmosphere_1_M_earth_1_F_earth.csv,3000,H2,1_M_earth,1_F_earth,1078.0201924941878,1389.739027783976,H2,2.485998664705957,1389.5846972879306,True,2946.724021463766,6776.698100252496,13088325.046452496,378.0,False,2884.82188,3891.8762202524963
H2_atmosphere_1_M_earth_1_F_earth.csv,4000,H2,1_M_earth,1_F_earth,1620.9925905639925,2089.700185288992,H2,1.6621158881858091,2089.469673448904,True,3939.0782493764864,8332.669694000193,14644296.640200194,392.0,False,2884.82188,5447.8478140001935
H2_atmosphere_1_M_earth_1_F_earth.csv,5000,H2,1_M_earth,1_F_earth,1922.5689767416704,2479.8927099537264,H2,1.1908097724534086,2477.792213009184,False,4934.3192699495785,10005.916958183752,16317543.904383752,405.0,False,2884.82188,7121.095078183753
H2_atmosphere_1_M_earth_1_F_earth.csv,6000,H2,1_M_earth,1_F_earth,2044.4584421107284,2647.346298140185,H2,0.8917870760305858,2632.0250060197955,False,5932.236498443048,11811.986716325742,18123613.662525743,418.0,False,2884.82188,8927.164836325743
H2_atmosphere_1_M_earth_1_F_earth.csv,7000,H2,1_M_earth,1_F_earth,2061.5234043497508,2702.324888758817,H2,0.6893899386705722,2644.997806880032,False,6932.1516718330495,13751.167772830458,20062794.71903046,431.0,False,2884.82188,10866.345892830459
H2_atmosphere_10_M_earth_1_F_earth.csv,200,H2,10_M_earth,1_F_earth,0.0312733675538969,0.6617466186728519,H,9.027614590521765,0.6351200733359776,True,199.97548078824448,147048.4007509079,265549000.7509079,676.0,False,71215.2095932143,75833.1911576936
H2_atmosphere_10_M_earth_1_F_earth.csv,300,H2,10_M_earth,1_F_earth,23.860350998826537,37.7445432857478,H2,10.547019188489315,23.937716562654614,True,299.9485600852664,184572.8613552789,303073461.3552789,692.0,False,71215.2095932143,113357.6517620646
