Filename,Element,Planet mass,Earth Flux,Atmospheric mass [kg],Global mass loss [kg],m/M,Radius impactor [m]
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,0.0,0.0,0.0
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.9516546565565444e+19,0.010101010101010102,2828175.2781485217
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.069638645389543e+19,0.020202020202020204,3563277.5657316106
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,6.35052249573041e+19,0.030303030303030304,4078934.5796637405
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,8.790876736810559e+19,0.04040404040404041,4489448.411683419
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.1387271897861403e+20,0.05050505050505051,4836111.69861965
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.4136278508114353e+20,0.06060606060606061,5139135.538062443
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.7034467096800825e+20,0.07070707070707072,5410104.679916282
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.007840819315223e+20,0.08080808080808081,5656350.556297043
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.3264672326399984e+20,0.09090909090909091,5882841.644832059
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.6589830025775504e+20,0.10101010101010102,6093118.928733747
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.005045182051019e+20,0.11111111111111112,6289805.511242648
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.364310823983547e+20,0.12121212121212122,6474905.042667687
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,3.736436981298275e+20,0.13131313131313133,6649986.6344649205
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.121080706918344e+20,0.14141414141414144,6816304.768361289
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.517899053766895e+20,0.15151515151515152,6974880.01929282
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.9265490747670725e+20,0.16161616161616163,7126555.13146322
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,5.346687822842014e+20,0.17171717171717174,7272035.027858028
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,5.7779723509148615e+20,0.18181818181818182,7411916.02152209
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,6.220059711908758e+20,0.19191919191919193,7546707.575086161
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,6.672606958746846e+20,0.20202020202020204,7676848.797824548
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,7.13527114435226e+20,0.21212121212121213,7802721.149927356
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,7.60770932164815e+20,0.22222222222222224,7924658.363359396
