Filename,Element,Planet mass,Earth Flux,r_min [m],r_cap [m],r_gi [m],rho_0 [kg/m^3],Cap mass [kg],Effective scale height [m],Atmospheric mass [kg],Radius impactor [m],Planetesimal mass loss [kg]
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,301049.9120059066,4.62168341290125e+21,32048.977467243774,0.0
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,286733.66210493963,4.62168341290125e+21,33992.74305577572,1.7233165364689884e+16
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,270042.7780632249,4.62168341290125e+21,35936.50864430766,3.548075717230344e+16
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,250275.09208919533,4.62168341290125e+21,37880.274232839605,5.474277542284077e+16
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,230113.05008098358,4.62168341290125e+21,39824.03982137155,7.501922011630187e+16
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,212830.82312532506,4.62168341290125e+21,41767.80540990349,9.631009125268661e+16
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,195667.57967663422,4.62168341290125e+21,43711.57099843543,1.1861538883199504e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,178684.58767993186,4.62168341290125e+21,45655.33658696738,1.4193511285422731e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,162092.5197523439,4.62168341290125e+21,47599.10217549933,1.6626926331938333e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,146091.4969040451,4.62168341290125e+21,49542.86776403127,1.9161784022746294e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,130854.56821102831,4.62168341290125e+21,51486.63335256321,2.1798084357846627e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,116518.61999611996,4.62168341290125e+21,53430.398941095154,2.4535827337239344e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,103182.69466749851,4.62168341290125e+21,55374.1645296271,2.7375012960924438e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,90910.79219338512,4.62168341290125e+21,57317.93011815904,3.031564122890189e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,79738.56702919444,4.62168341290125e+21,59261.69570669098,3.335771214117171e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,69878.07033198324,4.62168341290125e+21,61205.46129522293,3.650122569773392e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,62474.44122537007,4.62168341290125e+21,63149.226883754876,3.97461818985885e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,58562.080174006245,4.62168341290125e+21,65092.992472286816,4.309258074373544e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,57288.831336955205,4.62168341290125e+21,67036.75806081876,4.654042223317476e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,57290.06656654871,4.62168341290125e+21,68980.52364935071,5.008970636690646e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,58149.061212027016,4.62168341290125e+21,70924.28923788265,5.3740433144930515e+17
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,32048.977467243774,221771.83426492885,1973870.8004106556,24.40173397306975,9.016312081991636e+18,59587.225792945865,4.62168341290125e+21,72868.05482641459,5.7492602567246944e+17
