SEQ='O '     NUCCHG= 8                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  16323956.6   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)    31713.4 
     3          2S2 2P3             (2)1( 2.5)    43680.5 

   LS RESOLVED TERM INDEXING            BWNR=  16421397.0   NTRM= 501
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    88     2    2S2 2P3 3D1         (1)1( 1.0)   116912.5*
    89     2    2S2 2P3 3D1         (3)1( 4.0)   116927.3*
    90     2    2S2 2P3 3D1         (3)0( 1.0)   116947.2*
    91     2    2S2 2P3 3D1         (1)2( 2.0)   116958.4*
    92     2    2S2 2P3 3D1         (1)3( 3.0)   116974.3*
    93     3    2S2 2P3 3P1         (3)2( 7.0)   117353.1*
    94     3    2S2 2P3 3P1         (1)1( 1.0)   117759.7*
    95     2    2S2 2P3 4P1         (3)2( 7.0)   118168.5*
    96     2    2S2 2P3 4P1         (1)1( 1.0)   118239.8*
    97     2    2S2 2P3 4P1         (3)3(10.0)   118296.1*
    98     2    2S2 2P3 4P1         (1)3( 3.0)   118462.3*
    99     2    2S2 2P3 4P1         (3)1( 4.0)   120024.7*
   100     2    2S2 2P3 4P1         (1)2( 2.0)   121560.3*
   101     2    2S2 2P3 5S1         (3)2( 7.0)   121593.7*
   102     2    2S2 2P3 5S1         (1)2( 2.0)   121773.2*
   103     3    2S2 2P3 3P1         (3)1( 4.0)   122044.9*
   104     2    2S2 2P3 4D1         (1)0( 0.0)   122252.3*
   105     2    2S2 2P3 4D1         (3)3(10.0)   122253.6*
   106     2    2S2 2P3 4D1         (3)4(13.0)   122257.6*
   107     2    2S2 2P3 4D1         (1)4( 4.0)   122261.2*
   108     2    2S2 2P3 4D1         (3)2( 7.0)   122264.5*
   109     2    2S2 2P3 4D1         (1)1( 1.0)   122269.4*
   110     2    2S2 2P3 4D1         (3)1( 4.0)   122277.7*
   111     2    2S2 2P3 4D1         (3)0( 1.0)   122287.2*
   112     2    2S2 2P3 4D1         (1)2( 2.0)   122294.8*
   113     2    2S2 2P3 4F1         (3)4(13.0)   122295.0*
   114     2    2S2 2P3 4F1         (3)2( 7.0)   122295.0*
   115     2    2S2 2P3 4F1         (1)2( 2.0)   122295.0*
   116     2    2S2 2P3 4F1         (3)3(10.0)   122295.1*
   117     2    2S2 2P3 4F1         (3)5(16.0)   122295.1*
   118     2    2S2 2P3 4F1         (1)1( 1.0)   122295.1*
   119     2    2S2 2P3 4F1         (1)5( 5.0)   122295.1*
   120     2    2S2 2P3 4F1         (3)1( 4.0)   122295.2*
   121     2    2S2 2P3 4F1         (1)4( 4.0)   122295.2*
   122     2    2S2 2P3 4F1         (1)3( 3.0)   122295.2*
   123     2    2S2 2P3 4D1         (1)3( 3.0)   122303.5*
   124     2    2S2 2P3 5P1         (3)2( 7.0)   122841.2*
   125     2    2S2 2P3 5P1         (1)1( 1.0)   122875.8*
   126     2    2S2 2P3 5P1         (3)3(10.0)   122897.0*
   127     2    2S2 2P3 5P1         (1)3( 3.0)   122970.7*
   128     2    2S2 2P3 5P1         (3)1( 4.0)   123649.0*
   129     2    2S2 2P3 5P1         (1)2( 2.0)   124386.1*
   130     2    2S2 2P3 6S1         (3)2( 7.0)   124414.4*
   131     2    2S2 2P3 6S1         (1)2( 2.0)   124504.1*
   132     3    2S2 2P3 3P1         (1)2( 2.0)   124581.1*
   133     2    2S2 2P3 5G1         (3)2( 7.0)   124726.0*
   134     2    2S2 2P3 5G1         (1)2( 2.0)   124726.0*
   135     2    2S2 2P3 5G1         (3)3(10.0)   124726.0*
