SEQ='N '     NUCCHG= 7                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  11835491.1   NPRNTI= 4   NPRNTF= 4
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 4.0)        0.0 
     2          2S2 2P2             (1)2( 2.0)    17957.0 
     3          2S2 2P2             (1)0( 0.0)    32477.5 
     4          2S1 2P3             (5)0( 2.0)    39696.0 

   LS RESOLVED TERM INDEXING            BWNR=  11943486.1   NTRM= 406
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    86     1    2S2 2P2 6H1         (4)4(17.5)   104936.8 
    87     1    2S2 2P2 6H1         (2)4( 8.5)   104936.8 
    88     1    2S2 2P2 6H1         (4)5(21.5)   104936.8 
    89     1    2S2 2P2 6H1         (2)5(10.5)   104936.8 
    90     1    2S2 2P2 6H1         (4)6(25.5)   104936.8 
    91     1    2S2 2P2 6H1         (2)6(12.5)   104936.8 
    92     1    2S2 2P2 6D1         (2)3( 6.5)   104937.7 
    93     1    2S2 2P2 6F1         (4)2( 9.5)   104939.4 
    94     1    2S2 2P2 6F1         (2)2( 4.5)   104939.4 
    95     1    2S2 2P2 6F1         (4)4(17.5)   104943.5 
    96     1    2S2 2P2 6F1         (2)4( 8.5)   104943.7 
    97     1    2S2 2P2 6D1         (4)2( 9.5)   104944.3 
    98     1    2S2 2P2 6F1         (4)3(13.5)   104955.4 
    99     1    2S2 2P2 6F1         (2)3( 6.5)   104955.7 
   100     1    2S2 2P2 6D1         (2)2( 4.5)   104972.9 
   101     1    2S2 2P2 7P1         (2)0( 0.5)   105084.3 
   102     1    2S2 2P2 7P1         (4)2( 9.5)   105112.3 
   103     1    2S2 2P2 7P1         (4)1( 5.5)   105131.0 
   104     1    2S2 2P2 7P1         (2)2( 4.5)   105419.5 
   105     1    2S2 2P2 7P1         (2)1( 2.5)   105490.3 
   106     1    2S2 2P2 7P1         (4)0( 1.5)   105578.2 
   107     1    2S2 2P2 8S1         (4)1( 5.5)   105659.5 
   108     1    2S2 2P2 8S1         (2)1( 2.5)   105714.1 
   109     1    2S2 2P2 7D1         (2)1( 2.5)   105732.0 
   110     1    2S2 2P2 7D1         (4)3(13.5)   105734.9 
   111     1    2S2 2P2 7D1         (4)1( 5.5)   105735.9 
   112     1    2S2 2P2 7G1         (4)3(13.5)   105743.3 
   113     1    2S2 2P2 7G1         (2)3( 6.5)   105743.3 
   114     1    2S2 2P2 7G1         (4)4(17.5)   105743.3 
   115     1    2S2 2P2 7G1         (2)4( 8.5)   105743.3 
   116     1    2S2 2P2 7G1         (4)5(21.5)   105743.3 
