SEQ='C '     NUCCHG= 6                                                  /LS/

   PARENT TERM INDEXING                 BWNP=   8197449.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)    41056.5 

   LS RESOLVED TERM INDEXING            BWNR=   8280378.5   NTRM= 354
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    88     1    2S2 2P1 6H1         (3)5(16.0)    79872.5 
    89     1    2S2 2P1 6H1         (1)5( 5.0)    79872.5 
    90     1    2S2 2P1 6H1         (3)6(19.0)    79872.5 
    91     1    2S2 2P1 6H1         (1)6( 6.0)    79872.5 
    92     1    2S2 2P1 7S1         (1)1( 1.0)    79883.8 
    93     1    2S2 2P1 6F1         (3)4(13.0)    79884.7 
    94     1    2S2 2P1 6F1         (1)4( 4.0)    79885.4 
    95     1    2S2 2P1 6D1         (3)1( 4.0)    79886.1 
    96     1    2S2 2P1 6F1         (3)2( 7.0)    79890.9 
    97     1    2S2 2P1 6F1         (1)2( 2.0)    79891.3 
    98     1    2S2 2P1 6D1         (1)3( 3.0)    79902.2 
    99     1    2S2 2P1 6D1         (1)1( 1.0)    79916.7 
   100     1    2S2 2P1 6P1         (1)0( 0.0)    79920.8 
   101     1    2S2 2P1 7P1         (1)1( 1.0)    80048.9 
   102     1    2S2 2P1 7P1         (3)2( 7.0)    80069.2 
   103     1    2S2 2P1 7P1         (3)0( 1.0)    80099.6 
   104     1    2S2 2P1 7P1         (3)1( 4.0)    80451.7 
   105     1    2S2 2P1 7P1         (1)2( 2.0)    80541.3 
   106     1    2S2 2P1 7D1         (1)2( 2.0)    80649.3 
   107     1    2S2 2P1 8S1         (3)1( 4.0)    80650.2 
   108     1    2S2 2P1 7D1         (3)2( 7.0)    80662.5 
   109     1    2S2 2P1 7D1         (3)3(10.0)    80667.5 
   110     1    2S2 2P1 7G1         (3)3(10.0)    80679.4 
   111     1    2S2 2P1 7G1         (1)3( 3.0)    80679.4 
   112     1    2S2 2P1 7G1         (3)4(13.0)    80679.4 
   113     1    2S2 2P1 7G1         (1)4( 4.0)    80679.4 
   114     1    2S2 2P1 7G1         (3)5(16.0)    80679.4 
   115     1    2S2 2P1 7G1         (1)5( 5.0)    80679.4 
   116     1    2S2 2P1 7F1         (1)3( 3.0)    80681.3 
   117     1    2S2 2P1 7F1         (3)3(10.0)    80681.4 
   118     1    2S2 2P1 7H1         (3)4(13.0)    80684.4 
   119     1    2S2 2P1 7H1         (1)4( 4.0)    80684.4 
   120     1    2S2 2P1 7H1         (3)5(16.0)    80684.4 
   121     1    2S2 2P1 7H1         (1)5( 5.0)    80684.4 
   122     1    2S2 2P1 7H1         (3)6(19.0)    80684.4 
   123     1    2S2 2P1 7H1         (1)6( 6.0)    80684.4 
   124     1    2S2 2P1 7I1         (3)5(16.0)    80686.6 
   125     1    2S2 2P1 7I1         (1)5( 5.0)    80686.6 
   126     1    2S2 2P1 7I1         (3)6(19.0)    80686.6 
   127     1    2S2 2P1 7I1         (1)6( 6.0)    80686.6 
   128     1    2S2 2P1 7I1         (3)7(22.0)    80686.6 
   129     1    2S2 2P1 7I1         (1)7( 7.0)    80686.6 
   130     1    2S2 2P1 7F1         (3)4(13.0)    80692.0 
   131     1    2S2 2P1 8S1         (1)1( 1.0)    80692.0 
   132     1    2S2 2P1 7D1         (3)1( 4.0)    80692.3 
   133     1    2S2 2P1 7F1         (1)4( 4.0)    80692.5 
   134     1    2S2 2P1 7F1         (3)2( 7.0)    80695.9 
   135     1    2S2 2P1 7F1         (1)2( 2.0)    80696.2 
   136     1    2S2 2P1 7P1         (1)0( 0.0)    80702.1 
   137     1    2S2 2P1 7D1         (1)3( 3.0)    80703.2 
   138     1    2S2 2P1 7D1         (1)1( 1.0)    80712.1 
   139     1    2S2 2P1 8P1         (1)1( 1.0)    80796.5 
   140     1    2S2 2P1 8P1         (3)2( 7.0)    80809.5 
   141     1    2S2 2P1 8P1         (3)0( 1.0)    80829.1 
   142     1    2S2 2P1 8P1         (3)1( 4.0)    81055.7 
   143     1    2S2 2P1 8P1         (1)2( 2.0)    81113.6 
   144     1    2S2 2P1 8D1         (1)2( 2.0)    81187.3 
   145     1    2S2 2P1 8D1         (3)2( 7.0)    81196.3 
   146     1    2S2 2P1 8D1         (3)3(10.0)    81199.3 
   147     1    2S2 2P1 8G1         (3)3(10.0)    81207.7 
   148     1    2S2 2P1 8G1         (1)3( 3.0)    81207.7 
   149     1    2S2 2P1 8G1         (3)4(13.0)    81207.7 
   150     1    2S2 2P1 8G1         (1)4( 4.0)    81207.7 
   151     1    2S2 2P1 8G1         (3)5(16.0)    81207.7 
   152     1    2S2 2P1 8G1         (1)5( 5.0)    81207.7 
   153     1    2S2 2P1 8F1         (1)3( 3.0)    81208.9 
   154     1    2S2 2P1 8F1         (3)3(10.0)    81209.0 
   155     1    2S2 2P1 8H1         (3)4(13.0)    81211.0 
   156     1    2S2 2P1 8H1         (1)4( 4.0)    81211.0 
   157     1    2S2 2P1 8H1         (3)5(16.0)    81211.0 
   158     1    2S2 2P1 8H1         (1)5( 5.0)    81211.0 
   159     1    2S2 2P1 8H1         (3)6(19.0)    81211.0 
   160     1    2S2 2P1 8H1         (1)6( 6.0)    81211.0 
   161     1    2S2 2P1 8I1         (3)5(16.0)    81212.5 
   162     1    2S2 2P1 8I1         (1)5( 5.0)    81212.5 
   163     1    2S2 2P1 8I1         (3)6(19.0)    81212.5 
   164     1    2S2 2P1 8I1         (1)6( 6.0)    81212.5 
   165     1    2S2 2P1 8I1         (3)7(22.0)    81212.5 
   166     1    2S2 2P1 8I1         (1)7( 7.0)    81212.5 
   167     1    2S2 2P1 8J1         (3)6(19.0)    81213.2 
   168     1    2S2 2P1 8J1         (1)6( 6.0)    81213.2 
   169     1    2S2 2P1 8J1         (3)7(22.0)    81213.2 
   170     1    2S2 2P1 8J1         (1)7( 7.0)    81213.2 
   171     1    2S2 2P1 8J1         (3)8(25.0)    81213.2 
   172     1    2S2 2P1 8J1         (1)8( 8.0)    81213.2 
   173     1    2S2 2P1 8D1         (3)1( 4.0)    81216.0 
   174     1    2S2 2P1 8F1         (3)4(13.0)    81216.1 
