Case	Time [yr]	R_int [m]	R_obs [m]	M_planet [kg]	F_ins [W/m2]	F_xuv [W/m2]	MMW [g/mol]
1000_F_earth	1826956.0	118500600.0	118500600.0	5.9720425295e+25	1006092.2681	214.96539149	5.957608987444834
1_F_earth	11451179.0	118500600.0	118500600.0	5.9720425295e+25	1031.8678033	0.21963888348	4.942619168704063
