Case	Time [yr]	R_int [m]	R_obs [m]	M_planet [kg]	F_ins [W/m2]	F_xuv [W/m2]	MMW [g/mol]
1000_F_earth	1739119.0	6311758.0844	7078223.5693	5.972043965e+24	1006074.5798	215.06355951	30.504080644
1_F_earth	222193225.0	6311758.0844	6864087.1181	5.972043965e+24	1053.8628089	0.15060330544	18.508436887000002
