Case	Time [yr]	R_int [m]	R_obs [m]	M_planet [kg]	F_ins [W/m2]	F_xuv [W/m2]	MMW [g/mol]
1000_F_earth	1739119.0	6311758.0844	7078223.5693	5.972043965e+24	1006074.5798	215.06355951	30.504080644
1_F_earth	268815550.0	6312025.3734	6864567.9772	5.9720422307e+24	1057.5269266	0.14030503109	18.546148272
