Case	Time [yr]	R_int [m]	R_obs [m]	M_planet [kg]	F_ins [W/m2]	F_xuv [W/m2]	MMW [g/mol]
1000_F_earth	1739119.0	118500600.0	118500600.0	5.972043965000001e+25	1006074.5798	215.06355951	20.77011083376913
1_F_earth	222193225.0	118500600.0	118500600.0	5.972043965000001e+25	1053.8628089	0.15060330544	18.29963886029476
