specie,instellation,planet_mass,T_inf,Lim_flux_disso[kg/s],Lim_flux_H[kg/s],Jeans_flux_H[kg/s],Jeans_flux_disso[kg/s],Lim_flux_disso[cgs],Lim_flux_H[cgs]
CO2,1_F_earth,1_M_earth,200,29160.748482721192,10.496794619772553,6.219822071456687e-19,4.3242118462717333e-13,3139390447556.532,1130064846.545449
CO2,1_F_earth,1_M_earth,300,27755.90107766767,9.991101335126416,1.472390909188964e-14,3.158795745965653e-08,2980524140295.668,1072878831.5737456
CO2,1_F_earth,1_M_earth,500,26163.784596043395,9.417998085452714,1.1655972750716422e-10,0.0002405835046701,2795267748346.259,1006193358.824468
CO2,1_F_earth,1_M_earth,1000,24403.317943056358,8.784294979295716,4.922480303352656e-06,0.1472633382890086,2574305840347.33,926655216.3645048
CO2,1_F_earth,1_M_earth,2000,23299.067940047527,8.38680567968686,0.0098046736751509,2.461046883692293,2396792655701.8765,862757012.8383102
CO2,1_F_earth,1_M_earth,3000,23124.735418545544,8.324052397656475,0.1085806934077116,5.182635062708111,2320517843179.656,835300891.7383387
CO2,1_F_earth,1_M_earth,4000,23747.553104727933,8.548243808288207,0.3305254276008354,6.8990235149211205,2320664393557.6445,835353644.4727246
CO2,1_F_earth,1_M_earth,5000,24183.0441697655,8.70500453996676,0.611929357552385,7.815908132474658,2305570735721.872,829920483.9879351
CO2,1_F_earth,1_M_earth,6000,25240.07700189691,9.085497398434162,0.8835042558864048,8.150457247013486,2341545828748.7144,842870191.4741371
CO2,1_F_earth,1_M_earth,7000,25976.571293753317,9.350608197110416,1.1288801842876293,8.478315200431206,2351438059785.6963,846431030.0303926
CO2,1_F_earth,10_M_earth,200,136762.17603157464,442.495172219329,1.964249306687015e-08,1.2751244711138662e-05,39341923121.72726,127291123.55721168
CO2,1_F_earth,10_M_earth,300,133131.22191528304,430.74718959993913,5.822893566249703e-06,0.003796375847516,37553804681.16888,121505651.28510667
CO2,1_F_earth,10_M_earth,500,131575.6610716693,425.714159391107,0.0007762569975451,0.2831462744602526,35683553503.887405,115454437.8516972
CO2,1_F_earth,10_M_earth,1000,135319.97308143257,437.8289124294077,0.2521180954140082,4.864127359834203,33359804565.985104,107935928.59491146
CO2,1_F_earth,10_M_earth,2000,153403.93960224045,496.3397383918872,4.21717920189085,13.44922111704341,31609242365.660706,102271969.85434306
CO2,1_F_earth,10_M_earth,3000,180261.96205233497,583.2390961995706,8.758974134534343,16.937987833845085,31335101350.709263,101384984.29193635
CO2,1_F_earth,10_M_earth,4000,211105.4066389129,683.0333208909366,11.644835850257094,49.67159571858207,31373702753.95516,101509879.45719944
CO2,1_F_earth,10_M_earth,5000,247373.7624066227,800.3798913918289,12.981662329561717,277.48136499782424,31731488131.37834,102667497.0587494
CO2,1_F_earth,10_M_earth,6000,289475.49320507,936.6003959273048,13.629437194642689,1032.554075045745,32317779966.519405,104564449.22848985
CO2,1_F_earth,10_M_earth,7000,342233.84254186635,1107.3004794825983,14.811455758011126,2643.814050736792,33308604349.1794,107770269.86228156
